LAMMPS data file for BaTiO3 core-shell model

5120 atoms
2560 bonds
6 atom types
3 bond types

0.0 32.0000 xlo xhi
0.0 32.0000 ylo yhi
0.0 32.0000 zlo zhi

Masses

1 137.33000  # Ba_core
2 0.00001  # Ba_shell
3 47.86700  # Ti_core
4 0.00001  # Ti_shell
5 15.99900  # O_core
6 0.00001  # O_shell

Atoms # full

1 1 1 2.0000 0.000000 0.000000 0.000000
2 1 2 -2.0000 0.010000 0.010000 0.010000
3 2 3 4.0000 2.000000 2.000000 2.000000
4 2 4 -4.0000 2.010000 2.010000 2.010000
5 3 5 -2.6667 2.000000 2.000000 0.000000
6 3 6 2.6667 2.010000 2.010000 0.010000
7 4 5 -2.6667 0.000000 2.000000 2.000000
8 4 6 2.6667 0.010000 2.010000 2.010000
9 5 5 -2.6667 2.000000 0.000000 2.000000
10 5 6 2.6667 2.010000 0.010000 2.010000
11 6 1 2.0000 0.000000 0.000000 4.000000
12 6 2 -2.0000 0.010000 0.010000 4.010000
13 7 3 4.0000 2.000000 2.000000 6.000000
14 7 4 -4.0000 2.010000 2.010000 6.010000
15 8 5 -2.6667 2.000000 2.000000 4.000000
16 8 6 2.6667 2.010000 2.010000 4.010000
17 9 5 -2.6667 0.000000 2.000000 6.000000
18 9 6 2.6667 0.010000 2.010000 6.010000
19 10 5 -2.6667 2.000000 0.000000 6.000000
20 10 6 2.6667 2.010000 0.010000 6.010000
21 11 1 2.0000 0.000000 0.000000 8.000000
22 11 2 -2.0000 0.010000 0.010000 8.010000
23 12 3 4.0000 2.000000 2.000000 10.000000
24 12 4 -4.0000 2.010000 2.010000 10.010000
25 13 5 -2.6667 2.000000 2.000000 8.000000
26 13 6 2.6667 2.010000 2.010000 8.010000
27 14 5 -2.6667 0.000000 2.000000 10.000000
28 14 6 2.6667 0.010000 2.010000 10.010000
29 15 5 -2.6667 2.000000 0.000000 10.000000
30 15 6 2.6667 2.010000 0.010000 10.010000
31 16 1 2.0000 0.000000 0.000000 12.000000
32 16 2 -2.0000 0.010000 0.010000 12.010000
33 17 3 4.0000 2.000000 2.000000 14.000000
34 17 4 -4.0000 2.010000 2.010000 14.010000
35 18 5 -2.6667 2.000000 2.000000 12.000000
36 18 6 2.6667 2.010000 2.010000 12.010000
37 19 5 -2.6667 0.000000 2.000000 14.000000
38 19 6 2.6667 0.010000 2.010000 14.010000
39 20 5 -2.6667 2.000000 0.000000 14.000000
40 20 6 2.6667 2.010000 0.010000 14.010000
41 21 1 2.0000 0.000000 0.000000 16.000000
42 21 2 -2.0000 0.010000 0.010000 16.010000
43 22 3 4.0000 2.000000 2.000000 18.000000
44 22 4 -4.0000 2.010000 2.010000 18.010000
45 23 5 -2.6667 2.000000 2.000000 16.000000
46 23 6 2.6667 2.010000 2.010000 16.010000
47 24 5 -2.6667 0.000000 2.000000 18.000000
48 24 6 2.6667 0.010000 2.010000 18.010000
49 25 5 -2.6667 2.000000 0.000000 18.000000
50 25 6 2.6667 2.010000 0.010000 18.010000
51 26 1 2.0000 0.000000 0.000000 20.000000
52 26 2 -2.0000 0.010000 0.010000 20.010000
53 27 3 4.0000 2.000000 2.000000 22.000000
54 27 4 -4.0000 2.010000 2.010000 22.010000
55 28 5 -2.6667 2.000000 2.000000 20.000000
56 28 6 2.6667 2.010000 2.010000 20.010000
57 29 5 -2.6667 0.000000 2.000000 22.000000
58 29 6 2.6667 0.010000 2.010000 22.010000
59 30 5 -2.6667 2.000000 0.000000 22.000000
60 30 6 2.6667 2.010000 0.010000 22.010000
61 31 1 2.0000 0.000000 0.000000 24.000000
62 31 2 -2.0000 0.010000 0.010000 24.010000
63 32 3 4.0000 2.000000 2.000000 26.000000
64 32 4 -4.0000 2.010000 2.010000 26.010000
65 33 5 -2.6667 2.000000 2.000000 24.000000
66 33 6 2.6667 2.010000 2.010000 24.010000
67 34 5 -2.6667 0.000000 2.000000 26.000000
68 34 6 2.6667 0.010000 2.010000 26.010000
69 35 5 -2.6667 2.000000 0.000000 26.000000
70 35 6 2.6667 2.010000 0.010000 26.010000
71 36 1 2.0000 0.000000 0.000000 28.000000
72 36 2 -2.0000 0.010000 0.010000 28.010000
73 37 3 4.0000 2.000000 2.000000 30.000000
74 37 4 -4.0000 2.010000 2.010000 30.010000
75 38 5 -2.6667 2.000000 2.000000 28.000000
76 38 6 2.6667 2.010000 2.010000 28.010000
77 39 5 -2.6667 0.000000 2.000000 30.000000
78 39 6 2.6667 0.010000 2.010000 30.010000
79 40 5 -2.6667 2.000000 0.000000 30.000000
80 40 6 2.6667 2.010000 0.010000 30.010000
81 41 1 2.0000 0.000000 4.000000 0.000000
82 41 2 -2.0000 0.010000 4.010000 0.010000
83 42 3 4.0000 2.000000 6.000000 2.000000
84 42 4 -4.0000 2.010000 6.010000 2.010000
85 43 5 -2.6667 2.000000 6.000000 0.000000
86 43 6 2.6667 2.010000 6.010000 0.010000
87 44 5 -2.6667 0.000000 6.000000 2.000000
88 44 6 2.6667 0.010000 6.010000 2.010000
89 45 5 -2.6667 2.000000 4.000000 2.000000
90 45 6 2.6667 2.010000 4.010000 2.010000
91 46 1 2.0000 0.000000 4.000000 4.000000
92 46 2 -2.0000 0.010000 4.010000 4.010000
93 47 3 4.0000 2.000000 6.000000 6.000000
94 47 4 -4.0000 2.010000 6.010000 6.010000
95 48 5 -2.6667 2.000000 6.000000 4.000000
96 48 6 2.6667 2.010000 6.010000 4.010000
97 49 5 -2.6667 0.000000 6.000000 6.000000
98 49 6 2.6667 0.010000 6.010000 6.010000
99 50 5 -2.6667 2.000000 4.000000 6.000000
100 50 6 2.6667 2.010000 4.010000 6.010000
101 51 1 2.0000 0.000000 4.000000 8.000000
102 51 2 -2.0000 0.010000 4.010000 8.010000
103 52 3 4.0000 2.000000 6.000000 10.000000
104 52 4 -4.0000 2.010000 6.010000 10.010000
105 53 5 -2.6667 2.000000 6.000000 8.000000
106 53 6 2.6667 2.010000 6.010000 8.010000
107 54 5 -2.6667 0.000000 6.000000 10.000000
108 54 6 2.6667 0.010000 6.010000 10.010000
109 55 5 -2.6667 2.000000 4.000000 10.000000
110 55 6 2.6667 2.010000 4.010000 10.010000
111 56 1 2.0000 0.000000 4.000000 12.000000
112 56 2 -2.0000 0.010000 4.010000 12.010000
113 57 3 4.0000 2.000000 6.000000 14.000000
114 57 4 -4.0000 2.010000 6.010000 14.010000
115 58 5 -2.6667 2.000000 6.000000 12.000000
116 58 6 2.6667 2.010000 6.010000 12.010000
117 59 5 -2.6667 0.000000 6.000000 14.000000
118 59 6 2.6667 0.010000 6.010000 14.010000
119 60 5 -2.6667 2.000000 4.000000 14.000000
120 60 6 2.6667 2.010000 4.010000 14.010000
121 61 1 2.0000 0.000000 4.000000 16.000000
122 61 2 -2.0000 0.010000 4.010000 16.010000
123 62 3 4.0000 2.000000 6.000000 18.000000
124 62 4 -4.0000 2.010000 6.010000 18.010000
125 63 5 -2.6667 2.000000 6.000000 16.000000
126 63 6 2.6667 2.010000 6.010000 16.010000
127 64 5 -2.6667 0.000000 6.000000 18.000000
128 64 6 2.6667 0.010000 6.010000 18.010000
129 65 5 -2.6667 2.000000 4.000000 18.000000
130 65 6 2.6667 2.010000 4.010000 18.010000
131 66 1 2.0000 0.000000 4.000000 20.000000
132 66 2 -2.0000 0.010000 4.010000 20.010000
133 67 3 4.0000 2.000000 6.000000 22.000000
134 67 4 -4.0000 2.010000 6.010000 22.010000
135 68 5 -2.6667 2.000000 6.000000 20.000000
136 68 6 2.6667 2.010000 6.010000 20.010000
137 69 5 -2.6667 0.000000 6.000000 22.000000
138 69 6 2.6667 0.010000 6.010000 22.010000
139 70 5 -2.6667 2.000000 4.000000 22.000000
140 70 6 2.6667 2.010000 4.010000 22.010000
141 71 1 2.0000 0.000000 4.000000 24.000000
142 71 2 -2.0000 0.010000 4.010000 24.010000
143 72 3 4.0000 2.000000 6.000000 26.000000
144 72 4 -4.0000 2.010000 6.010000 26.010000
145 73 5 -2.6667 2.000000 6.000000 24.000000
146 73 6 2.6667 2.010000 6.010000 24.010000
147 74 5 -2.6667 0.000000 6.000000 26.000000
148 74 6 2.6667 0.010000 6.010000 26.010000
149 75 5 -2.6667 2.000000 4.000000 26.000000
150 75 6 2.6667 2.010000 4.010000 26.010000
151 76 1 2.0000 0.000000 4.000000 28.000000
152 76 2 -2.0000 0.010000 4.010000 28.010000
153 77 3 4.0000 2.000000 6.000000 30.000000
154 77 4 -4.0000 2.010000 6.010000 30.010000
155 78 5 -2.6667 2.000000 6.000000 28.000000
156 78 6 2.6667 2.010000 6.010000 28.010000
157 79 5 -2.6667 0.000000 6.000000 30.000000
158 79 6 2.6667 0.010000 6.010000 30.010000
159 80 5 -2.6667 2.000000 4.000000 30.000000
160 80 6 2.6667 2.010000 4.010000 30.010000
161 81 1 2.0000 0.000000 8.000000 0.000000
162 81 2 -2.0000 0.010000 8.010000 0.010000
163 82 3 4.0000 2.000000 10.000000 2.000000
164 82 4 -4.0000 2.010000 10.010000 2.010000
165 83 5 -2.6667 2.000000 10.000000 0.000000
166 83 6 2.6667 2.010000 10.010000 0.010000
167 84 5 -2.6667 0.000000 10.000000 2.000000
168 84 6 2.6667 0.010000 10.010000 2.010000
169 85 5 -2.6667 2.000000 8.000000 2.000000
170 85 6 2.6667 2.010000 8.010000 2.010000
171 86 1 2.0000 0.000000 8.000000 4.000000
172 86 2 -2.0000 0.010000 8.010000 4.010000
173 87 3 4.0000 2.000000 10.000000 6.000000
174 87 4 -4.0000 2.010000 10.010000 6.010000
175 88 5 -2.6667 2.000000 10.000000 4.000000
176 88 6 2.6667 2.010000 10.010000 4.010000
177 89 5 -2.6667 0.000000 10.000000 6.000000
178 89 6 2.6667 0.010000 10.010000 6.010000
179 90 5 -2.6667 2.000000 8.000000 6.000000
180 90 6 2.6667 2.010000 8.010000 6.010000
181 91 1 2.0000 0.000000 8.000000 8.000000
182 91 2 -2.0000 0.010000 8.010000 8.010000
183 92 3 4.0000 2.000000 10.000000 10.000000
184 92 4 -4.0000 2.010000 10.010000 10.010000
185 93 5 -2.6667 2.000000 10.000000 8.000000
186 93 6 2.6667 2.010000 10.010000 8.010000
187 94 5 -2.6667 0.000000 10.000000 10.000000
188 94 6 2.6667 0.010000 10.010000 10.010000
189 95 5 -2.6667 2.000000 8.000000 10.000000
190 95 6 2.6667 2.010000 8.010000 10.010000
191 96 1 2.0000 0.000000 8.000000 12.000000
192 96 2 -2.0000 0.010000 8.010000 12.010000
193 97 3 4.0000 2.000000 10.000000 14.000000
194 97 4 -4.0000 2.010000 10.010000 14.010000
195 98 5 -2.6667 2.000000 10.000000 12.000000
196 98 6 2.6667 2.010000 10.010000 12.010000
197 99 5 -2.6667 0.000000 10.000000 14.000000
198 99 6 2.6667 0.010000 10.010000 14.010000
199 100 5 -2.6667 2.000000 8.000000 14.000000
200 100 6 2.6667 2.010000 8.010000 14.010000
201 101 1 2.0000 0.000000 8.000000 16.000000
202 101 2 -2.0000 0.010000 8.010000 16.010000
203 102 3 4.0000 2.000000 10.000000 18.000000
204 102 4 -4.0000 2.010000 10.010000 18.010000
205 103 5 -2.6667 2.000000 10.000000 16.000000
206 103 6 2.6667 2.010000 10.010000 16.010000
207 104 5 -2.6667 0.000000 10.000000 18.000000
