(written by ASE)

10000 atoms
5000 bonds
3 bond types
6 atom types

0.0 40.0 xlo xhi
0.0 40.0 ylo yhi
0.0 40.0 zlo zhi

Atoms # full


Bonds

1 1 1 2
2 2 3 4
3 3 5 6
4 3 7 8
5 3 9 10
6 1 11 12
7 2 13 14
8 3 15 16
9 3 17 18
10 3 19 20
11 1 21 22
12 2 23 24
13 3 25 26
14 3 27 28
15 3 29 30
16 1 31 32
17 2 33 34
18 3 35 36
19 3 37 38
20 3 39 40
21 1 41 42
22 2 43 44
23 3 45 46
24 3 47 48
25 3 49 50
26 1 51 52
27 2 53 54
28 3 55 56
29 3 57 58
30 3 59 60
31 1 61 62
32 2 63 64
33 3 65 66
34 3 67 68
35 3 69 70
36 1 71 72
37 2 73 74
38 3 75 76
39 3 77 78
40 3 79 80
41 1 81 82
42 2 83 84
43 3 85 86
44 3 87 88
45 3 89 90
46 1 91 92
47 2 93 94
48 3 95 96
49 3 97 98
50 3 99 100
51 1 101 102
52 2 103 104
53 3 105 106
54 3 107 108
55 3 109 110
56 1 111 112
57 2 113 114
58 3 115 116
59 3 117 118
60 3 119 120
61 1 121 122
62 2 123 124
63 3 125 126
64 3 127 128
65 3 129 130
66 1 131 132
67 2 133 134
68 3 135 136
69 3 137 138
70 3 139 140
71 1 141 142
72 2 143 144
73 3 145 146
74 3 147 148
75 3 149 150
76 1 151 152
77 2 153 154
78 3 155 156
79 3 157 158
80 3 159 160
81 1 161 162
82 2 163 164
83 3 165 166
84 3 167 168
85 3 169 170
86 1 171 172
87 2 173 174
88 3 175 176
89 3 177 178
90 3 179 180
91 1 181 182
92 2 183 184
93 3 185 186
94 3 187 188
95 3 189 190
96 1 191 192
97 2 193 194
98 3 195 196
99 3 197 198
100 3 199 200
101 1 201 202
102 2 203 204
103 3 205 206
104 3 207 208
105 3 209 210
106 1 211 212
107 2 213 214
108 3 215 216
109 3 217 218
110 3 219 220
111 1 221 222
112 2 223 224
113 3 225 226
114 3 227 228
115 3 229 230
116 1 231 232
117 2 233 234
118 3 235 236
119 3 237 238
120 3 239 240
121 1 241 242
122 2 243 244
123 3 245 246
124 3 247 248
125 3 249 250
126 1 251 252
127 2 253 254
128 3 255 256
129 3 257 258
130 3 259 260
131 1 261 262
132 2 263 264
133 3 265 266
134 3 267 268
135 3 269 270
136 1 271 272
137 2 273 274
138 3 275 276
139 3 277 278
140 3 279 280
141 1 281 282
142 2 283 284
143 3 285 286
144 3 287 288
145 3 289 290
146 1 291 292
147 2 293 294
148 3 295 296
149 3 297 298
150 3 299 300
151 1 301 302
152 2 303 304
153 3 305 306
154 3 307 308
155 3 309 310
156 1 311 312
157 2 313 314
158 3 315 316
159 3 317 318
160 3 319 320
161 1 321 322
162 2 323 324
163 3 325 326
164 3 327 328
165 3 329 330
166 1 331 332
167 2 333 334
168 3 335 336
169 3 337 338
170 3 339 340
171 1 341 342
172 2 343 344
173 3 345 346
174 3 347 348
175 3 349 350
176 1 351 352
177 2 353 354
178 3 355 356
179 3 357 358
180 3 359 360
181 1 361 362
182 2 363 364
183 3 365 366
184 3 367 368
185 3 369 370
186 1 371 372
187 2 373 374
188 3 375 376
189 3 377 378
190 3 379 380
191 1 381 382
192 2 383 384
193 3 385 386
194 3 387 388
195 3 389 390
196 1 391 392
197 2 393 394
198 3 395 396
199 3 397 398
200 3 399 400
201 1 401 402
202 2 403 404
203 3 405 406
