# Time-averaged data for fix avg_p
# TimeStep c_dip[1] c_dip[2] c_dip[3]
10000 0.000436553 0.000446294 7.75804e-05
20000 0.000457041 0.000473719 7.63748e-05
30000 0.000122086 0.000200143 0.000315212
40000 -1.95185e-05 0.000183175 0.000458618
50000 -0.000141032 7.1726e-05 0.000207011
60000 -0.000350211 0.00031266 0.000605519
70000 -0.000489105 -6.11122e-05 0.000171275
80000 -0.000507304 0.000308537 0.0013014
90000 -0.000835016 -0.000183752 0.000337623
100000 -0.00112706 -0.000461043 0.00179439
110000 -0.00152016 -0.000699836 0.000613433
120000 -0.00175983 -0.00115348 0.00152481
130000 -0.00250121 -0.0016806 0.000954414
140000 -0.00203225 -0.00169363 0.000806109
150000 -0.00302214 -0.00232261 0.00101948
160000 -0.00202589 -0.00154679 0.000148754
170000 -0.00314633 -0.00198133 0.000294168
180000 -0.00195313 -0.00115706 -0.000193568
190000 -0.00212488 -0.00117671 -0.00101874
200000 -0.00177609 -0.000875803 -9.56082e-05
210000 -0.0010594 -0.000843249 -0.00135175
220000 -0.00140326 -0.000303973 0.000230298
230000 7.63848e-06 0.000701622 -0.000835353
240000 -0.000285395 0.000624658 0.000282359
250000 0.00117421 0.000371383 -0.000301805
260000 0.00138378 0.000668048 0.000364801
270000 0.000937963 0.000284564 0.0010376
280000 0.0022968 0.000660148 0.00157318
290000 0.000778388 0.000729609 0.00212677
300000 0.00199908 0.000567654 0.00269245
