# Time-averaged data for fix polar_output
# TimeStep c_dipole_moment[1] c_dipole_moment[2] c_dipole_moment[3]
5050 -7.7535 43.8552 13.6582
5100 -7.7535 43.8552 13.6582
5150 -7.7535 43.8552 13.6582
5200 -7.7535 43.8552 13.6582
5250 -7.7535 43.8552 13.6582
5300 -7.7535 43.8552 13.6582
5350 -7.7535 43.8552 13.6582
5400 -7.7535 43.8552 13.6582
5450 -7.7535 43.8552 13.6582
5500 -7.7535 43.8552 13.6582
5550 -7.7535 43.8552 13.6582
5600 -7.7535 43.8552 13.6582
5650 -7.7535 43.8552 13.6582
5700 -7.7535 43.8552 13.6582
5750 -7.7535 43.8552 13.6582
5800 -7.7535 43.8552 13.6582
5850 -7.7535 43.8552 13.6582
5900 -7.7535 43.8552 13.6582
5950 -7.7535 43.8552 13.6582
6000 -7.7535 43.8552 13.6582
6050 -7.7535 43.8552 13.6582
6100 -7.7535 43.8552 13.6582
6150 -7.7535 43.8552 13.6582
6200 -7.7535 43.8552 13.6582
6250 -7.7535 43.8552 13.6582
6300 -7.7535 43.8552 13.6582
6350 -7.7535 43.8552 13.6582
6400 -7.7535 43.8552 13.6582
6450 -7.7535 43.8552 13.6582
6500 -7.7535 43.8552 13.6582
6550 -7.7535 43.8552 13.6582
6600 -7.7535 43.8552 13.6582
6650 -7.7535 43.8552 13.6582
6700 -7.7535 43.8552 13.6582
6750 -7.7535 43.8552 13.6582
6800 -7.7535 43.8552 13.6582
6850 -7.7535 43.8552 13.6582
6900 -7.7535 43.8552 13.6582
6950 -7.7535 43.8552 13.6582
7000 -7.7535 43.8552 13.6582
7050 -7.7535 43.8552 13.6582
7100 -7.7535 43.8552 13.6582
7150 -7.7535 43.8552 13.6582
7200 -7.7535 43.8552 13.6582
7250 -7.7535 43.8552 13.6582
7300 -7.7535 43.8552 13.6582
7350 -7.7535 43.8552 13.6582
7400 -7.7535 43.8552 13.6582
7450 -7.7535 43.8552 13.6582
7500 -7.7535 43.8552 13.6582
7550 -7.7535 43.8552 13.6582
7600 -7.7535 43.8552 13.6582
7650 -7.7535 43.8552 13.6582
7700 -7.7535 43.8552 13.6582
7750 -7.7535 43.8552 13.6582
7800 -7.7535 43.8552 13.6582
7850 -7.7535 43.8552 13.6582
7900 -7.7535 43.8552 13.6582
7950 -7.7535 43.8552 13.6582
8000 -7.7535 43.8552 13.6582
8050 -7.7535 43.8552 13.6582
8100 -7.7535 43.8552 13.6582
8150 -7.7535 43.8552 13.6582
8200 -7.7535 43.8552 13.6582
8250 -7.7535 43.8552 13.6582
8300 -7.7535 43.8552 13.6582
8350 -7.7535 43.8552 13.6582
8400 -7.7535 43.8552 13.6582
8450 -7.7535 43.8552 13.6582
8500 -7.7535 43.8552 13.6582
8550 -7.7535 43.8552 13.6582
8600 -7.7535 43.8552 13.6582
8650 -7.7535 43.8552 13.6582
8700 -7.7535 43.8552 13.6582
8750 -7.7535 43.8552 13.6582
8800 -7.7535 43.8552 13.6582
8850 -7.7535 43.8552 13.6582
8900 -7.7535 43.8552 13.6582
8950 -7.7535 43.8552 13.6582
9000 -7.7535 43.8552 13.6582
9050 -7.7535 43.8552 13.6582
9100 -7.7535 43.8552 13.6582
9150 -7.7535 43.8552 13.6582
9200 -7.7535 43.8552 13.6582
9250 -7.7535 43.8552 13.6582
9300 -7.7535 43.8552 13.6582
9350 -7.7535 43.8552 13.6582
9400 -7.7535 43.8552 13.6582
9450 -7.7535 43.8552 13.6582
9500 -7.7535 43.8552 13.6582
9550 -7.7535 43.8552 13.6582
9600 -7.7535 43.8552 13.6582
9650 -7.7535 43.8552 13.6582
9700 -7.7535 43.8552 13.6582
9750 -7.7535 43.8552 13.6582
9800 -7.7535 43.8552 13.6582
9850 -7.7535 43.8552 13.6582
9900 -7.7535 43.8552 13.6582
9950 -7.7535 43.8552 13.6582
10000 -7.7535 43.8552 13.6582
10050 -7.7535 43.8552 13.6582
10100 -7.7535 43.8552 13.6582
10150 -7.7535 43.8552 13.6582
10200 -7.7535 43.8552 13.6582
10250 -7.7535 43.8552 13.6582
10300 -7.7535 43.8552 13.6582
10350 -7.7535 43.8552 13.6582
10400 -7.7535 43.8552 13.6582
10450 -7.7535 43.8552 13.6582
10500 -7.7535 43.8552 13.6582
10550 -7.7535 43.8552 13.6582
10600 -7.7535 43.8552 13.6582
10650 -7.7535 43.8552 13.6582
10700 -7.7535 43.8552 13.6582
10750 -7.7535 43.8552 13.6582
10800 -7.7535 43.8552 13.6582
10850 -7.7535 43.8552 13.6582
10900 -7.7535 43.8552 13.6582
10950 -7.7535 43.8552 13.6582
11000 -7.7535 43.8552 13.6582
11050 -7.7535 43.8552 13.6582
11100 -7.7535 43.8552 13.6582
11150 -7.7535 43.8552 13.6582
11200 -7.7535 43.8552 13.6582
11250 -7.7535 43.8552 13.6582
11300 -7.7535 43.8552 13.6582
11350 -7.7535 43.8552 13.6582
11400 -7.7535 43.8552 13.6582
11450 -7.7535 43.8552 13.6582
11500 -7.7535 43.8552 13.6582
11550 -7.7535 43.8552 13.6582
11600 -7.7535 43.8552 13.6582
11650 -7.7535 43.8552 13.6582
11700 -7.7535 43.8552 13.6582
11750 -7.7535 43.8552 13.6582
11800 -7.7535 43.8552 13.6582
11850 -7.7535 43.8552 13.6582
11900 -7.7535 43.8552 13.6582
11950 -7.7535 43.8552 13.6582
12000 -7.7535 43.8552 13.6582
12050 -7.7535 43.8552 13.6582
12100 -7.7535 43.8552 13.6582
12150 -7.7535 43.8552 13.6582
12200 -7.7535 43.8552 13.6582
12250 -7.7535 43.8552 13.6582
12300 -7.7535 43.8552 13.6582
12350 -7.7535 43.8552 13.6582
12400 -7.7535 43.8552 13.6582
12450 -7.7535 43.8552 13.6582
12500 -7.7535 43.8552 13.6582
12550 -7.7535 43.8552 13.6582
12600 -7.7535 43.8552 13.6582
12650 -7.7535 43.8552 13.6582
12700 -7.7535 43.8552 13.6582
12750 -7.7535 43.8552 13.6582
12800 -7.7535 43.8552 13.6582
12850 -7.7535 43.8552 13.6582
12900 -7.7535 43.8552 13.6582
12950 -7.7535 43.8552 13.6582
13000 -7.7535 43.8552 13.6582
13050 -7.7535 43.8552 13.6582
13100 -7.7535 43.8552 13.6582
13150 -7.7535 43.8552 13.6582
13200 -7.7535 43.8552 13.6582
13250 -7.7535 43.8552 13.6582
13300 -7.7535 43.8552 13.6582
13350 -7.7535 43.8552 13.6582
13400 -7.7535 43.8552 13.6582
13450 -7.7535 43.8552 13.6582
13500 -7.7535 43.8552 13.6582
13550 -7.7535 43.8552 13.6582
13600 -7.7535 43.8552 13.6582
13650 -7.7535 43.8552 13.6582
13700 -7.7535 43.8552 13.6582
13750 -7.7535 43.8552 13.6582
13800 -7.7535 43.8552 13.6582
13850 -7.7535 43.8552 13.6582
13900 -7.7535 43.8552 13.6582
13950 -7.7535 43.8552 13.6582
14000 -7.7535 43.8552 13.6582
14050 -7.7535 43.8552 13.6582
14100 -7.7535 43.8552 13.6582
14150 -7.7535 43.8552 13.6582
14200 -7.7535 43.8552 13.6582
14250 -7.7535 43.8552 13.6582
14300 -7.7535 43.8552 13.6582
14350 -7.7535 43.8552 13.6582
14400 -7.7535 43.8552 13.6582
14450 -7.7535 43.8552 13.6582
14500 -7.7535 43.8552 13.6582
14550 -7.7535 43.8552 13.6582
14600 -7.7535 43.8552 13.6582
14650 -7.7535 43.8552 13.6582
14700 -7.7535 43.8552 13.6582
14750 -7.7535 43.8552 13.6582
14800 -7.7535 43.8552 13.6582
14850 -7.7535 43.8552 13.6582
14900 -7.7535 43.8552 13.6582
14950 -7.7535 43.8552 13.6582
15000 -7.7535 43.8552 13.6582
15050 -7.55784 43.6518 13.1646
15100 -7.19673 43.3389 13.3841
15150 -7.16662 43.6397 13.2774
15200 -7.20958 43.6107 13.2656
15250 -7.36071 43.6574 13.2262
15300 -7.29262 43.5477 13.4935
15350 -7.43644 43.5577 13.2631
15400 -7.10056 43.5298 13.2473
15450 -7.29079 43.792 13.2673
15500 -7.14817 43.4918 13.5273
15550 -7.46857 43.4862 13.2659
15600 -7.30415 43.5877 13.1334
15650 -7.29556 43.657 13.3541
15700 -6.97427 43.412 13.3174
15750 -7.48656 43.6937 13.2945
15800 -7.44072 43.6749 13.19
15850 -7.43341 43.4932 13.5135
15900 -7.11954 43.4664 13.073
15950 -7.31084 43.5138 13.3302
16000 -7.29263 43.5582 13.3309
16050 -7.50857 43.6476 13.708
16100 -7.26941 43.4717 13.4308
16150 -7.17348 43.6005 13.2689
16200 -7.26499 43.6405 13.5735
16250 -7.47337 43.7862 13.7785
16300 -7.38436 43.4043 13.4409
16350 -7.1993 43.437 13.3258
16400 -7.35715 43.56 13.4766
16450 -7.40715 43.6079 13.7262
16500 -7.33099 43.7524 13.4437
16550 -7.47033 43.6067 13.5419
16600 -7.28187 43.5558 13.3809
16650 -7.19241 43.5526 13.632
16700 -7.48233 43.625 13.4267
16750 -7.4145 43.6267 13.6212
16800 -7.2447 43.265 13.4104
16850 -7.13501 43.7855 13.5559
16900 -7.38942 43.6368 13.3441
16950 -7.4633 43.5155 13.6503
17000 -7.40818 43.5614 13.4571
17050 -7.23757 43.65 13.8581
17100 -7.33818 43.7266 13.7404
17150 -7.44393 43.6533 13.8641
17200 -7.60972 43.5045 13.8413
17250 -7.38901 43.6423 13.8809
17300 -7.51658 43.5854 13.8911
17350 -7.18069 43.8373 13.867
17400 -7.33312 43.6785 13.7577
17450 -7.47806 43.4381 13.7195
17500 -7.57611 43.6066 13.9412
17550 -7.27734 43.7504 14.0136
17600 -7.37546 43.7674 13.9195
17650 -7.42498 43.4915 13.5182
17700 -7.40794 43.3041 13.7975
17750 -7.48715 43.8681 14.0517
17800 -7.65181 43.7295 14.1144
17850 -7.40008 43.5645 13.6218
17900 -7.16932 43.458 13.577
17950 -7.47145 43.6888 13.813
18000 -7.58411 43.6685 14.1465
18050 -7.5477 43.648 14.2551
18100 -7.46456 43.6135 14.0055
18150 -7.33041 43.7016 14.0101
18200 -7.59556 43.6204 14.364
18250 -7.53465 43.9325 14.2787
18300 -7.70278 43.7829 14.4033
18350 -7.39534 43.3126 14.0603
18400 -7.39627 43.6113 14.0534
18450 -7.51999 43.7399 14.0656
18500 -7.45533 43.9924 14.5944
18550 -7.66974 43.4364 14.4343
18600 -7.52003 43.5593 13.994
18650 -7.38877 43.7672 13.8807
18700 -7.26246 43.6164 14.3413
18750 -7.70099 43.9475 14.5807
18800 -7.66424 43.6306 14.1485
18850 -7.61646 43.5719 13.961
18900 -7.17534 43.7965 14.0628
18950 -7.57335 43.6013 14.4564
19000 -7.36524 43.8777 14.2728
19050 -7.84853 43.8048 14.5847
19100 -7.82318 43.5582 14.518
19150 -7.42445 43.7259 14.6004
19200 -7.4891 43.8336 14.6242
19250 -7.40061 43.9319 14.5589
19300 -7.84955 43.9241 14.7148
19350 -7.71686 43.3985 14.6705
19400 -7.49922 43.685 14.5453
19450 -7.57694 44.0468 14.6964
19500 -7.67725 43.8381 14.6684
19550 -7.59656 43.9788 14.7505
19600 -7.59864 43.498 14.5814
19650 -7.77388 43.5972 14.5563
19700 -7.52472 43.6955 14.6032
19750 -7.63602 43.9977 14.8783
19800 -7.56953 44.0753 14.7812
19850 -7.63222 43.4127 14.4766
19900 -7.6552 43.589 14.4346
19950 -8.00126 43.958 15.0219
20000 -7.5509 44.0673 14.8558
20050 -7.29033 43.8519 15.1672
20100 -7.59795 43.6304 14.8557
20150 -7.87812 43.9596 15.0002
20200 -7.56398 43.8781 15.1189
20250 -7.45692 43.8111 15.1495
20300 -7.83384 44.0855 15.3665
20350 -7.63908 44.0983 15.0287
20400 -7.39355 43.734 14.9614
20450 -7.61813 43.663 14.9183
20500 -7.74419 44.0556 14.9478
20550 -7.67962 44.0166 15.3469
20600 -7.42558 43.8456 15.1334
20650 -7.53368 44.058 14.955
20700 -7.48612 43.6452 14.6695
20750 -7.5427 43.7518 15.1247
20800 -7.59057 43.9114 15.1632
20850 -7.84912 44.2146 15.0873
20900 -7.53161 43.9656 15.0968
20950 -7.30771 43.4832 14.9756
21000 -7.51149 44.0364 15.0866
21050 -7.59133 44.2556 15.3768
21100 -7.67187 43.8551 15.7868
21150 -7.41272 44.1843 15.2186
21200 -7.35859 44.0085 15.7382
21250 -7.40699 43.5567 15.1922
21300 -7.74157 44.3744 15.7402
21350 -7.54626 44.0426 15.3431
21400 -7.51406 43.9853 15.6278
21450 -7.44667 43.7301 15.4676
21500 -7.28646 44.0257 15.3399
21550 -7.53796 44.0153 15.6346
21600 -7.4206 43.9553 15.6066
21650 -7.45412 44.2902 15.4907
21700 -7.93211 43.965 15.3249
21750 -7.16694 43.7366 15.6415
21800 -7.86414 44.2348 15.5504
21850 -7.1354 43.6281 15.23
21900 -7.58771 44.3261 15.3755
21950 -6.77801 43.6612 15.4504
22000 -7.46968 43.8737 15.5503
22050 -7.28366 44.4481 16.0891
22100 -7.66942 44.5681 15.7354
22150 -7.69589 43.3829 15.7901
22200 -7.46633 43.85 16.2272
22250 -7.56057 43.9057 16.0418
22300 -7.30034 44.0872 16.5084
22350 -7.47823 44.0358 16.1392
22400 -7.44789 44.1785 16.3899
22450 -7.41592 43.4547 16.2523
22500 -7.61027 43.9926 15.923
22550 -7.35623 43.9709 16.1617
22600 -7.62923 44.0069 16.2987
22650 -6.91224 44.2667 15.8822
22700 -7.21886 43.5459 15.5022
22750 -6.46607 43.9502 15.559
22800 -6.63746 43.3149 15.4862
22850 -6.33765 43.2995 15.9297
22900 -6.56777 43.929 15.7134
22950 -6.32288 43.4712 15.8925
23000 -6.68198 43.3392 15.8905
23050 -6.55376 43.818 16.3524
